     464   a_wgt =    0.001  b_wgt =    0.020
  452        30   31   26   27   -0.49889985E+00
  453        31   32   26   27   -0.13323344E+00
  454        32    1   26   27   -0.98749745E+00
  455        29   30   27   28   -0.53326597E+01
  456        30   31   27   28   -0.12269830E+01
  457        31   32   27   28   -0.28552666E+00
  458        32    1   27   28   -0.15505948E+01
  459        30   31   28   29   -0.50571561E+01
  460        31   32   28   29   -0.78082806E+00
  461        32    1   28   29   -0.25318472E+01
  462        31   32   29   30   -0.38666568E+01
  463        32    1   29   30   -0.50697484E+01
  464        32    1   30   31   -0.15912048E+02
